,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_lambda,param_gamma,param_eta,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.9100394725799561,0.03118416793848419,0.0053555965423583984,0.0008149264358783063,0.6,1400,9,8,0.1383838383838384,3.333333333333333,0.6892612104349702,0.6949494949494949,"{'subsample': 0.6, 'n_estimators': 1400, 'min_child_weight': 9, 'max_depth': 8, 'lambda': 0.1383838383838384, 'gamma': 3.333333333333333, 'eta': 0.6892612104349702, 'alpha': 0.6949494949494949}",-0.3226683247259329,-0.31881378478889866,-0.32791612921343827,-0.3308806398464917,-0.31967461593765845,-0.323990698902484,0.004691651621754918,48
21,0.8634217739105224,0.04870097731961305,0.007918453216552735,0.0014550338278738655,0.8500000000000001,600,5,9,1.52020202020202,4.285714285714286,0.006579332246575682,1.481818181818182,"{'subsample': 0.8500000000000001, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 9, 'lambda': 1.52020202020202, 'gamma': 4.285714285714286, 'eta': 0.006579332246575682, 'alpha': 1.481818181818182}",-0.22607608834545537,-0.22343915749443902,-0.23282134636506735,-0.22212591477503812,-0.22620879014742884,-0.22613425942548573,0.003689348768985984,4
22,0.5372178554534912,0.11342715835679931,0.006639337539672852,0.001844380693151809,0.7,500,5,2,0.6181818181818182,0.9523809523809523,0.0041320124001153384,1.1171717171717173,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 2, 'lambda': 0.6181818181818182, 'gamma': 0.9523809523809523, 'eta': 0.0041320124001153384, 'alpha': 1.1171717171717173}",-0.22521483708256815,-0.22551649136597565,-0.23020486737022725,-0.22657696359187637,-0.2277811349299564,-0.22705885886812077,0.0018127652423499162,8
23,1.0045416831970215,0.08505431955564938,0.007071113586425782,0.0012457869223154135,0.5,1200,4,10,0.1383838383838384,3.8095238095238093,0.04229242874389499,1.3282828282828283,"{'subsample': 0.5, 'n_estimators': 1200, 'min_child_weight': 4, 'max_depth': 10, 'lambda': 0.1383838383838384, 'gamma': 3.8095238095238093, 'eta': 0.04229242874389499, 'alpha': 1.3282828282828283}",-0.24003380364623433,-0.23140734257943213,-0.23613968326850568,-0.23405232199277853,-0.23466206992781105,-0.23525904428295236,0.0028362656814665526,31
24,1.208293342590332,0.029699687676423687,0.011383914947509765,0.0024158452324392283,0.8,700,6,6,1.6161616161616161,3.8095238095238093,0.001023531021899027,1.2898989898989899,"{'subsample': 0.8, 'n_estimators': 700, 'min_child_weight': 6, 'max_depth': 6, 'lambda': 1.6161616161616161, 'gamma': 3.8095238095238093, 'eta': 0.001023531021899027, 'alpha': 1.2898989898989899}",-0.23185199384433303,-0.2313555207354647,-0.2347247812725661,-0.23275732164611723,-0.23427155862060167,-0.23299223522381657,0.0013170082211933496,22
25,1.4194860458374023,0.059198413024400244,0.008733892440795898,0.0009141469597441802,0.6,1300,3,8,0.3494949494949495,10.0,0.0007054802310718645,0.7333333333333333,"{'subsample': 0.6, 'n_estimators': 1300, 'min_child_weight': 3, 'max_depth': 8, 'lambda': 0.3494949494949495, 'gamma': 10.0, 'eta': 0.0007054802310718645, 'alpha': 0.7333333333333333}",-0.23141469038405124,-0.23155430395642995,-0.2345959187489739,-0.23375314785926918,-0.2342462578558204,-0.23311286376090892,0.001356974537758418,23
26,0.9588081359863281,0.06747517216675387,0.005190753936767578,0.0013802092901864082,0.7,1500,5,9,1.4242424242424243,4.761904761904762,0.4750810162102798,1.1363636363636365,"{'subsample': 0.7, 'n_estimators': 1500, 'min_child_weight': 5, 'max_depth': 9, 'lambda': 1.4242424242424243, 'gamma': 4.761904761904762, 'eta': 0.4750810162102798, 'alpha': 1.1363636363636365}",-0.2633290983989436,-0.25322331309024276,-0.2632894797703846,-0.2516547241477326,-0.2630927984937879,-0.25891788278021827,0.005313778353852688,46
27,0.9042962074279786,0.09432478491442287,0.006639528274536133,0.0011089783694460042,0.5,1100,10,5,0.46464646464646464,1.4285714285714284,0.9111627561154896,0.42626262626262623,"{'subsample': 0.5, 'n_estimators': 1100, 'min_child_weight': 10, 'max_depth': 5, 'lambda': 0.46464646464646464, 'gamma': 1.4285714285714284, 'eta': 0.9111627561154896, 'alpha': 0.42626262626262623}",-0.35016783156226644,-0.3813112812013288,-0.3920609539674101,-0.3429240680435844,-0.3796101439020984,-0.36921485573533763,0.01913282193956857,50
28,0.6600687026977539,0.027040174856042074,0.00561070442199707,0.0012624330808625392,0.6,900,1,10,1.6353535353535353,3.333333333333333,0.14174741629268062,0.503030303030303,"{'subsample': 0.6, 'n_estimators': 900, 'min_child_weight': 1, 'max_depth': 10, 'lambda': 1.6353535353535353, 'gamma': 3.333333333333333, 'eta': 0.14174741629268062, 'alpha': 0.503030303030303}",-0.2529283195394519,-0.2443911805308968,-0.2522492714024171,-0.2443370766667075,-0.2526766096959198,-0.24931649156707864,0.0040494482156838455,45
29,1.4546833038330078,0.032776117557397906,0.007681131362915039,0.0005076874049254935,0.5,1400,10,4,1.501010101010101,9.523809523809524,0.00010974987654930556,0.7525252525252525,"{'subsample': 0.5, 'n_estimators': 1400, 'min_child_weight': 10, 'max_depth': 4, 'lambda': 1.501010101010101, 'gamma': 9.523809523809524, 'eta': 0.00010974987654930556, 'alpha': 0.7525252525252525}",-0.2450907285886846,-0.24505687298396756,-0.2457501221500944,-0.24567234530834775,-0.24570401443850898,-0.24545481669392064,0.00031226362936277784,41
